"","ParentGlobalID","Date","Plot_ID_year","Plot_ID","Polygon_ID","Plot_nr","Treatment_2023","Cover_plants","Cover_plants_summed","Cover_bryophytes","Cover_standing_litter","Cover_rock","Cover_bare_soil","Cover_short_vegetation","Count_smallkjempe","Count_larvespinn","Veg_height_1","Veg_height_2","Veg_height_3","Veg_height_4","Coor_x","Coor_y","Species","Count_flowers","Cover_species","Veg_height_mean","Species_richness","Year","Plot_type","Treatment_2022","Cover_shrubs","UTM_N","UTM_E","UTM_zone"
"1","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Rubus_idaeus",0,35,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"2","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Elytrigia_repens",0,6,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"3","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Festuca_rubra",0,8,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"4","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Poa_nemoralis",0,5,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"5","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Dactylis_glomerata",0,9,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"6","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Agrostis_capillaris",0,14,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"7","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Viola_tricolor",20,20,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"8","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Galeopsis_bifida",1,1,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"9","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Fallopia_convolvulus",3,3,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
"10","3ee90900-6b4a-4a4a-b424-b34d0839040a",2023-08-09 10:00:00,"RT-03-2023","RT-03","RT","3","Krattknuser",95,116.2,90,0,0,0,4,0,0,34,33,29,16,10.689235377758,59.2286548668819,"Veronica_chamaedrys",12,9,25,15,2023,"Permanent",NA,NA,6566731.567,596397.744,"32"
